Adjective	Ethnicity	Gender	Age	Education	L1	Frequency	Function	Priming	Gradability	SemanticCategory	Emotionality	very
nice	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.109584115467313	Attributive	Prime	-1.22709041023302	Value	NonEmotional	other
nice	PAKEHA	Woman	40-49	NoUniversity	ENGLISH	-0.285892340039511	Attributive	NoPrime	-0.302551900252184	Value	NonEmotional	very
different	PAKEHA	Man	50-59	University	ENGLISH	-0.0975453976805811	Attributive	NoPrime	1.44098834995009	Other	NonEmotional	other
neat	PAKEHA	Man	20-29	NoUniversity	ENGLISH	-0.55261934915847	Attributive	NoPrime	0.965578842586193	HumanPropensity	NonEmotional	other
neat	PAKEHA	Man	20-29	NoUniversity	ENGLISH	-0.55261934915847	Attributive	Prime	-1.22709041023302	HumanPropensity	NonEmotional	other
good	PAKEHA	Man	20-29	NoUniversity	ENGLISH	2.45080164998564	Predicative	NoPrime	0.356966766908523	Value	PositiveEmotional	other
other	PAKEHA	Man	16-19	University	ENGLISH	-0.527346276108454	Attributive	NoPrime	0.640414123414726	Position	NonEmotional	other
other	PAKEHA	Man	16-19	University	ENGLISH	-0.565985613940481	Attributive	NoPrime	-1.22709041023302	Difficulty	NonEmotional	other
good	PAKEHA	Man	20-29	NoUniversity	ENGLISH	2.45080164998564	Predicative	NoPrime	-1.22709041023302	Value	PositiveEmotional	other
cool	PAKEHA	Man	16-19	University	ENGLISH	0.0329354536400513	Attributive	NoPrime	0.446025540139041	PhysicalProperty	PositiveEmotional	other
cool	PAKEHA	Man	20-29	NoUniversity	ENGLISH	-0.223652411932838	Attributive	NoPrime	-1.22709041023302	PhysicalProperty	PositiveEmotional	other
other	PAKEHA	Man	20-29	NoUniversity	ENGLISH	-0.501352539748727	Predicative	NoPrime	0.922993325788214	Age	PositiveEmotional	very
other	PAKEHA	Man	20-29	NoUniversity	ENGLISH	-0.501352539748727	Attributive	Prime	1.12977946825834	Age	PositiveEmotional	very
other	PAKEHA	Man	16-19	University	ENGLISH	-0.546663678787645	Attributive	NoPrime	0.696176432327941	HumanPropensity	NegativeEmotional	other
good	PAKEHA	Man	20-29	NoUniversity	ENGLISH	2.45080164998564	Predicative	Prime	0.87969761628227	Value	PositiveEmotional	very
bad	PAKEHA	Man	20-29	NoUniversity	ENGLISH	-0.116849202938834	Attributive	NoPrime	-0.598997244891486	Value	NegativeEmotional	other
other	PAKEHA	Man	16-19	University	ENGLISH	-0.556326912600886	Attributive	NoPrime	0.356961663005825	Dimension	NonEmotional	other
other	PAKEHA	Man	20-29	NoUniversity	ENGLISH	-0.377457372635712	Attributive	NoPrime	0.0328286840231356	Value	NonEmotional	other
cool	PAKEHA	Man	16-19	University	ENGLISH	0.0329354536400513	Predicative	NoPrime	-1.22709041023302	PhysicalProperty	PositiveEmotional	other
other	PAKEHA	Man	20-29	NoUniversity	ENGLISH	-0.59534244574553	Predicative	NoPrime	-0.316426122444361	HumanPropensity	PositiveEmotional	other
other	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	-0.53125780086494	Attributive	NoPrime	-0.264570512540785	Value	NonEmotional	other
hard	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	-0.330460153400487	Attributive	NoPrime	-1.22709041023302	PhysicalProperty	NonEmotional	other
other	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	-0.650883377803437	Attributive	NoPrime	0.23121873012436	PhysicalProperty	NonEmotional	other
other	PAKEHA	Man	20-29	NoUniversity	ENGLISH	-0.63806554233259	Attributive	NoPrime	1.44098834995009	HumanPropensity	NonEmotional	other
hard	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	-0.330460153400487	Predicative	NoPrime	0.0140801915042493	PhysicalProperty	NonEmotional	other
other	PAKEHA	Man	20-29	NoUniversity	ENGLISH	-0.501352539748727	Attributive	NoPrime	-1.22709041023302	Age	PositiveEmotional	other
other	PAKEHA	Man	20-29	NoUniversity	ENGLISH	-0.642339664980754	Attributive	NoPrime	0.305263126598217	Value	NonEmotional	other
funny	PAKEHA	Man	20-29	NoUniversity	ENGLISH	-0.159567767052248	Predicative	Prime	-1.22709041023302	HumanPropensity	NonEmotional	other
other	PAKEHA	Man	20-29	NoUniversity	ENGLISH	-0.65942709062612	Attributive	Prime	1.44098834995009	HumanPropensity	PositiveEmotional	other
other	PAKEHA	Man	20-29	NoUniversity	ENGLISH	-0.59534244574553	Predicative	NoPrime	1.44098834995009	Value	PositiveEmotional	other
