ID	File	Speaker	Adjective	Ethnicity	Gender	Age	Education	L1	Frequency	Function	Priming	Gradability	SemanticCategory	Emotionality	very	FileSpeaker
55507	DPC154	EM	expensive	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.18852	Predicative	NoPrime	1	Value	NonEmotional	other	DPC154EM
55546	DPC154	PA	cool	PAKEHA	Woman	20-29	University	ENGLISH	0.98973	Predicative	NoPrime	-1.31633914344128	PhysicalProperty	PositiveEmotional	other	DPC154PA
55551	DPC154	PA	different	PAKEHA	Woman	20-29	University	ENGLISH	0.89547	Attributive	NoPrime	1	Other	NonEmotional	other	DPC154PA
55588	DPC154	PA	angry	PAKEHA	Woman	20-29	University	ENGLISH	0.0377	Predicative	NoPrime	-2.03926039278494	HumanPropensity	NegativeEmotional	other	DPC154PA
55605	DPC154	PA	bad	PAKEHA	Woman	20-29	University	ENGLISH	1.22537	Predicative	NoPrime	-3.09839761864352	Value	NegativeEmotional	other	DPC154PA
55628	DPC154	PA	good	PAKEHA	Woman	20-29	University	ENGLISH	6.89038	Attributive	NoPrime	-2.44999831400334	Value	PositiveEmotional	other	DPC154PA
55631	DPC154	EM	cool	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.98973	Attributive	Prime	-1.96329674176864	PhysicalProperty	PositiveEmotional	other	DPC154EM
55652	DPC154	PA	good	PAKEHA	Woman	20-29	University	ENGLISH	6.89038	Attributive	NoPrime	-3.66356164612965	Value	PositiveEmotional	other	DPC154PA
55669	DPC154	EM	difficult	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.04713	Predicative	Prime	-1.18259060170144	Difficulty	NonEmotional	other	DPC154EM
55686	DPC156	BE	long	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.86719	Predicative	NoPrime	1.00707137158004	Dimension	NonEmotional	other	DPC156BE
55690	DPC156	BE	freaky	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.01885	Attributive	Prime	1	Other	NonEmotional	other	DPC156BE
55714	DPC156	BE	nice	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	1.72495	Attributive	NoPrime	-0.845850019936695	Value	NonEmotional	other	DPC156BE
55732	DPC156	SH	guilty	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.01885	Predicative	NoPrime	1	HumanPropensity	NegativeEmotional	other	DPC156SH
55744	DPC156	SH	good	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	6.89038	Attributive	NoPrime	-3.66356164612965	Value	PositiveEmotional	other	DPC156SH
55766	DPC156	BE	funny	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	1.13112	Attributive	NoPrime	-0.399333229426331	HumanPropensity	NonEmotional	other	DPC156BE
55789	DPC156	SH	arrogant	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.04713	Attributive	NoPrime	0.192057198752175	HumanPropensity	NegativeEmotional	other	DPC156SH
55792	DPC156	SH	big	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	1.90404	Predicative	Prime	-2.17220706971845	Dimension	NonEmotional	other	DPC156SH
55836	DPC156	BE	boring	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.08483	Predicative	NoPrime	1	Value	NegativeEmotional	other	DPC156BE
55839	DPC156	SH	bad	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	1.22537	Attributive	NoPrime	-3.66356164612965	Value	NegativeEmotional	other	DPC156SH
55912	DPC156	SH	guilty	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.01885	Attributive	NoPrime	1	HumanPropensity	NegativeEmotional	other	DPC156SH
55917	DPC156	BE	vicious	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.00943	Predicative	NoPrime	-2.77414777079658	HumanPropensity	NegativeEmotional	other	DPC156BE
55965	DPC157	JD	good	PAKEHA	Woman	16-19	University	ENGLISH	5.34953	Attributive	NoPrime	1.47550050515169	Value	PositiveEmotional	other	DPC157JD
55967	DPC157	JD	confident	PAKEHA	Woman	16-19	University	ENGLISH	0.02131	Predicative	Prime	1	HumanPropensity	PositiveEmotional	other	DPC157JD
55976	DPC157	JD	good	PAKEHA	Woman	16-19	University	ENGLISH	5.34953	Attributive	NoPrime	-0.19300871425589	Value	PositiveEmotional	other	DPC157JD
55978	DPC157	JD	good	PAKEHA	Woman	16-19	University	ENGLISH	5.34953	Predicative	Prime	1.07004961145762	Value	PositiveEmotional	other	DPC157JD
55994	DPC157	JD	embarrassing	PAKEHA	Woman	16-19	University	ENGLISH	0.02131	Predicative	NoPrime	1	Value	NegativeEmotional	other	DPC157JD
55997	DPC157	JD	good	PAKEHA	Woman	16-19	University	ENGLISH	5.34953	Predicative	Prime	0.198491837613685	Value	PositiveEmotional	other	DPC157JD
56012	DPC157	JD	subtle	PAKEHA	Woman	16-19	University	ENGLISH	0.04263	Predicative	NoPrime	-2.19231635547037	Other	NonEmotional	other	DPC157JD
56041	DPC157	JD	hard	PAKEHA	Woman	16-19	University	ENGLISH	0.57545	Predicative	NoPrime	-0.725601444937437	PhysicalProperty	NonEmotional	very	DPC157JD
56050	DPC157	SL	sorry	PAKEHA	Woman	16-19	University	ENGLISH	0.4902	Predicative	NoPrime	-1.21673395780116	HumanPropensity	NonEmotional	other	DPC157SL
56062	DPC157	SL	good	PAKEHA	Woman	16-19	University	ENGLISH	5.34953	Predicative	NoPrime	-0.481828957065242	Value	PositiveEmotional	other	DPC157SL
56063	DPC157	SL	cute	PAKEHA	Woman	16-19	University	ENGLISH	0.1705	Attributive	Prime	0.534555842729811	Value	PositiveEmotional	other	DPC157SL
56068	DPC157	SL	good	PAKEHA	Woman	16-19	University	ENGLISH	5.34953	Attributive	Prime	-0.14815885577044	Value	PositiveEmotional	other	DPC157SL
56102	DPC157	SL	upset	PAKEHA	Woman	16-19	University	ENGLISH	0.08525	Attributive	NoPrime	-1.16389211531656	HumanPropensity	NegativeEmotional	other	DPC157SL
56119	DPC157	SL	cool	PAKEHA	Woman	16-19	University	ENGLISH	1.55584	Predicative	NoPrime	-1.07677492439471	PhysicalProperty	PositiveEmotional	other	DPC157SL
56140	DPC157	JD	good	PAKEHA	Woman	16-19	University	ENGLISH	5.34953	Attributive	NoPrime	-3.66356164612965	Value	PositiveEmotional	other	DPC157JD
56181	DPC157	SL	exciting	PAKEHA	Woman	16-19	University	ENGLISH	0.25575	Attributive	NoPrime	1	Value	PositiveEmotional	other	DPC157SL
56184	DPC157	SL	good	PAKEHA	Woman	16-19	University	ENGLISH	5.34953	Attributive	NoPrime	-2.05569874944599	Value	PositiveEmotional	very	DPC157SL
56376	DPC158	NT	pretty	PAKEHA	Woman	20-29	University	ENGLISH	0.16967	Predicative	NoPrime	-3.66356164612965	Value	PositiveEmotional	other	DPC158NT
56382	DPC158	NT	quicker	PAKEHA	Woman	20-29	University	ENGLISH	0.00943	Attributive	NoPrime	1	Speed	NonEmotional	other	DPC158NT
56430	DPC158	NT	stupid	PAKEHA	Woman	20-29	University	ENGLISH	0.31106	Attributive	NoPrime	-0.357267723959233	HumanPropensity	NegativeEmotional	other	DPC158NT
56472	DPC158	NT	thick	PAKEHA	Woman	20-29	University	ENGLISH	0.08483	Attributive	NoPrime	0.452579749712186	Dimension	NonEmotional	very	DPC158NT
56668	DPC159	KT	good	PAKEHA	Man	20-29	University	ENGLISH	6.89038	Attributive	NoPrime	-1.79891912361073	Value	PositiveEmotional	very	DPC159KT
56830	DPC160	RW	good	PAKEHA	Woman	20-29	University	ENGLISH	6.89038	Attributive	NoPrime	-1.29669415284948	Value	PositiveEmotional	other	DPC160RW
56835	DPC160	RW	good	PAKEHA	Woman	20-29	University	ENGLISH	6.89038	Attributive	Prime	-0.97435113678718	Value	PositiveEmotional	other	DPC160RW
