"Age"	"Function"	"Variant"	"Adjective"	"VariantAdjective"	"VariantOtherAdjective"	"OtherVariantAdjective"	"OtherVariantOtherAdjective"	"AmplifierFrequency"	"AdjectiveFrequency"	"TotalFrequency"	"Expected"	"Probability"	"OddsRatio"	"p"	"Effect"
"50-59"	"Attributive"	"very"	"nice"	10	38	2	33	48	12	83	6.93975903614458	0.144578313253012	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.922231973483133	0.04
"50-59"	"Attributive"	"other"	"other"	19	1	44	19	20	63	83	15.1807228915663	0.759036144578313	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.995970518728676	0
"50-59"	"Attributive"	"really"	"other"	7	8	56	12	15	63	83	11.3855421686747	0.759036144578313	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.0138180470644238	1.86
"50-59"	"Attributive"	"very"	"other"	37	11	26	9	48	63	83	36.433734939759	0.759036144578313	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.630542372976929	0.2
"50-59"	"Predicative"	"really"	"good"	1	5	1	47	6	2	54	0.222222222222222	0.037037037037037	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.981373063106118	0.01
"50-59"	"Predicative"	"very"	"good"	1	29	1	23	30	2	54	1.11111111111111	0.037037037037037	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.694228107881979	0.16
"50-59"	"Predicative"	"very"	"nice"	2	28	0	24	30	2	54	1.11111111111111	0.037037037037037	"Inf"	0.901638291212103	0.04
"50-59"	"Predicative"	"other"	"other"	18	0	32	4	18	50	54	16.6666666666667	0.925925925925926	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	1	0
"50-59"	"Predicative"	"really"	"other"	5	1	45	3	6	50	54	5.55555555555556	0.925925925925926	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.369830373116895	0.43
"50-59"	"Predicative"	"very"	"other"	27	3	23	1	30	50	54	27.7777777777778	0.925925925925926	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.385450575512028	0.41
"60+"	"Attributive"	"other"	"good"	1	12	2	16	13	3	31	1.25806451612903	0.0967741935483871	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.637190304523155	0.2
